,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,9.65,9.65,9.44,9.44,7.506499,36800.0
1,2016-01-08,9.44,9.44,8.7,8.7,6.918067,800.0
2,2016-01-15,8.7,8.7,8.7,8.7,6.918067,0.0
3,2016-01-22,8.7,8.7,8.7,8.7,6.918067,0.0
4,2016-01-29,8.7,8.7,8.7,8.7,6.918067,0.0
5,2016-02-05,8.7,8.7,8.7,8.7,6.918067,0.0
6,2016-02-12,8.7,8.7,8.7,8.7,6.918067,5000.0
7,2016-02-19,8.7,8.7,8.7,8.7,6.918067,0.0
8,2016-02-26,8.7,8.7,8.7,8.7,7.075018,0.0
9,2016-03-04,8.7,10.47,8.7,10.47,8.514419,35400.0
10,2016-03-11,10.47,10.47,10.47,10.47,8.514419,0.0
11,2016-03-18,10.47,10.47,10.47,10.47,8.514419,0.0
12,2016-03-25,10.47,10.47,10.47,10.47,8.514419,0.0
13,2016-04-01,10.47,10.85,10.47,10.85,8.823442,400.0
14,2016-04-08,10.85,11.0,10.85,11.0,8.945427,1800.0
15,2016-04-15,11.0,11.0,11.0,11.0,8.945427,10000.0
16,2016-04-22,11.0,11.0,11.0,11.0,8.945427,4400.0
17,2016-04-29,11.0,11.76,11.0,11.76,9.563473,43000.0
18,2016-05-06,11.76,11.76,11.76,11.76,9.563473,0.0
19,2016-05-13,11.76,11.76,11.76,11.76,9.563473,0.0
20,2016-05-20,11.76,11.76,11.76,11.76,9.563473,0.0
21,2016-05-27,11.76,11.76,11.76,11.76,9.563473,0.0
22,2016-06-03,11.76,11.92,11.18,11.18,9.091805,1500.0
23,2016-06-10,11.18,11.18,11.18,11.18,9.091805,0.0
24,2016-06-17,11.18,11.18,11.18,11.18,9.091805,0.0
25,2016-06-24,11.18,11.18,11.18,11.18,9.091805,0.0
26,2016-07-01,11.1,11.1,11.1,11.1,9.026747,200.0
27,2016-07-08,11.1,11.1,11.1,11.1,9.026747,0.0
28,2016-07-15,11.1,11.1,11.1,11.1,9.026747,0.0
29,2016-07-22,11.1,11.25,11.1,11.25,9.148729,9100.0
30,2016-07-29,11.25,11.25,11.25,11.25,9.148729,0.0
31,2016-08-05,11.25,11.25,11.25,11.25,9.148729,0.0
32,2016-08-12,11.25,11.71,11.25,11.71,9.522812,700.0
33,2016-08-19,11.71,11.71,11.71,11.71,9.522812,0.0
34,2016-08-26,11.71,11.71,11.71,11.71,9.522812,0.0
35,2016-09-02,11.71,11.71,11.71,11.71,9.522812,0.0
36,2016-09-09,11.71,11.71,11.71,11.71,9.705146,0.0
37,2016-09-16,11.71,11.71,11.71,11.71,9.705146,0.0
38,2016-09-23,11.71,11.71,11.71,11.71,9.705146,0.0
39,2016-09-30,11.71,11.71,11.71,11.71,9.705146,40000.0
40,2016-10-07,11.71,11.71,11.71,11.71,9.705146,0.0
41,2016-10-14,11.71,11.71,11.71,11.71,9.705146,20000.0
42,2016-10-21,11.71,11.71,11.71,11.71,9.705146,0.0
43,2016-10-28,11.71,11.71,11.71,11.71,9.705146,0.0
44,2016-11-04,11.71,11.71,11.71,11.71,9.705146,0.0
45,2016-11-11,11.71,11.71,11.71,11.71,9.705146,0.0
46,2016-11-18,11.71,11.71,11.71,11.71,9.705146,0.0
47,2016-11-25,11.71,11.71,11.71,11.71,9.705146,0.0
48,2016-12-02,11.71,11.71,11.71,11.71,9.705146,0.0
49,2016-12-09,10.84,10.84,10.63,10.63,8.810051,6700.0
50,2016-12-16,10.63,10.63,10.63,10.63,8.810051,0.0
51,2016-12-23,10.63,10.63,10.63,10.63,8.810051,0.0
52,2016-12-30,10.63,10.63,10.63,10.63,8.810051,0.0
53,2017-01-06,10.63,10.63,10.63,10.63,8.810051,0.0
54,2017-01-13,10.63,10.63,10.63,10.63,8.810051,0.0
55,2017-01-20,10.63,10.63,10.63,10.63,8.810051,0.0
56,2017-01-27,10.63,10.63,10.63,10.63,8.810051,0.0
57,2017-02-03,10.63,10.63,10.63,10.63,8.810051,0.0
58,2017-02-10,10.63,10.63,10.63,10.63,8.810051,0.0
59,2017-02-17,10.63,10.63,10.63,10.63,8.810051,0.0
60,2017-02-24,10.63,10.63,10.63,10.63,8.810051,0.0
61,2017-03-03,10.63,10.73,10.57,10.57,8.926595,1000.0
62,2017-03-10,10.57,10.9,10.57,10.9,9.205287,1700.0
63,2017-03-17,10.9,11.19,10.9,11.19,9.450199,5200.0
64,2017-03-24,11.19,11.55,11.19,11.55,9.754228,10400.0
65,2017-03-31,11.55,11.55,11.25,11.25,9.500869,1400.0
66,2017-04-07,11.25,11.25,11.25,11.25,9.500869,1800.0
67,2017-04-14,11.25,11.25,11.25,11.25,9.500869,0.0
68,2017-04-21,11.25,11.71,11.25,11.71,9.88935,700.0
69,2017-04-28,11.6,11.6,11.6,11.6,9.796453,5400.0
70,2017-05-05,11.6,11.6,11.31,11.31,9.55154,100.0
71,2017-05-12,11.31,11.31,11.0,11.0,9.289741,2200.0
